"","SampleType"
"CL3","Soil"
"CC1","Soil"
"SV1","Soil"
"M31Fcsw","Feces"
"M11Fcsw","Feces"
"M31Plmr","Skin"
"M11Plmr","Skin"
"F21Plmr","Skin"
"M31Tong","Tongue"
"M11Tong","Tongue"
"LMEpi24M","Freshwater"
"SLEpi20M","Freshwater"
"AQC1cm","Freshwater (creek)"
"AQC4cm","Freshwater (creek)"
"AQC7cm","Freshwater (creek)"
"NP2","Ocean"
"NP3","Ocean"
"NP5","Ocean"
"TRRsed1","Sediment (estuary)"
"TRRsed2","Sediment (estuary)"
"TRRsed3","Sediment (estuary)"
"TS28","Feces"
"TS29","Feces"
"Even1","Mock"
"Even2","Mock"
"Even3","Mock"
